AAPL,2021-09-28 05:48:00 +0300 MSK,112.093206,118.656929,101.939390,118.656929
SBER,2021-09-28 05:48:00 +0300 MSK,218.810182,218.810182,201.182413,214.836979
NVDA,2021-09-28 05:48:00 +0300 MSK,313.291201,319.538337,301.312740,316.021101
TSLA,2021-09-28 05:48:00 +0300 MSK,408.754284,417.249829,400.566062,414.604630
AAPL,2021-09-28 05:50:00 +0300 MSK,103.658498,119.578587,100.503879,111.441736
SBER,2021-09-28 05:50:00 +0300 MSK,208.567142,219.513496,200.038078,211.771527
NVDA,2021-09-28 05:50:00 +0300 MSK,317.939839,317.939839,300.010276,308.235254
TSLA,2021-09-28 05:50:00 +0300 MSK,413.653070,419.719295,400.606451,411.051608
AAPL,2021-09-28 05:52:00 +0300 MSK,109.832148,115.660699,101.994593,110.489995
SBER,2021-09-28 05:52:00 +0300 MSK,219.159078,219.159078,202.756081,213.085403
NVDA,2021-09-28 05:52:00 +0300 MSK,315.944171,315.944171,301.523805,314.327367
TSLA,2021-09-28 05:52:00 +0300 MSK,402.147622,413.060804,402.147622,412.732884
